id_paper;MDS1;MDS2;year_publication;country;country_cor;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
124;0,0706424335185581;-0,08756107285896828;2022;Switzerland;Switzerland;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;regional;1;Biologgers;other;Short_scale;2;individuals;other;individuals
125;-0,1879600483127364;0,17340510043840715;2010;Scotland;United Kingdom;Europe;Paleartic;9;Offshore eolic;Yes;No;No;No;local;3;No tracking;oceans/coasts;Short_scale;1;species;oceans/coasts;species
126;0,0485118237281224;0,01182857694702706;2018;Germany;Germany;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
127;0,0545702183566222;0,17993898175426745;2009;The Netherlands;The Netherlands;Europe;Paleartic;13;Eolic terrestrial;No;Yes;Yes;No;local;1;radar;farmlands;Multi_scale;1;individuals;farmlands;individuals
128;0,0384433902487359;0,14291848665722529;2014;Italy;Italy;Europe;Paleartic;14;Eolic terrestrial;Yes;Yes;No;Yes;local;1;No tracking;mountains;Short_scale;1;individuals;mountains;individuals
129;0,0467912884040397;0,02713441492930015;2015;South Africa;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;mountains;Multi_scale;1;individuals;mountains;individuals
130;0,0675917026023410;-0,08914779395972000;2022;Belgiun;Belgium;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;regional;1;Bioacustic;oceans/coasts;Short_scale;2;individuals;oceans/coasts;individuals
132;0,0476853659476033;0,01035393967601334;2018;USA;United States of America;North America;Neartic;1;Eolic terrestrial;No;No;No;No;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
133;0,0526221393937772;0,00077914530538948;2020;New Zealand;New Zealand;Oceanian;Australian;1;Hydroelectric;No;Yes;Yes;Yes;local;1;Bioacustic;freshwaters;Multi_scale;1;individuals;freshwaters;individuals
138;0,0554494803867331;-0,00403405918488844;2021;Spain;Spain;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
141;0,0500187974726439;-0,00050141481159522;2020;UK;United Kingdom;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
142;0,0232618143769238;0,10307391195299588;2017;France;France;Europe;Paleartic;8;Hydroelectric;No;Yes;No;No;local;1;Bioacustic;freshwaters;Short_scale;1;individuals;freshwaters;individuals
147;-0,2762597730288217;0,11340464637926180;2021;Germany;Germany;Europe;Paleartic;9;Eolic terrestrial;Yes;No;No;Yes;local;4;Other;farmlands;Short_scale;1;communities;farmlands;communities
148;0,0443146621830890;0,00638527458690373;2018;Sweden;Sweden;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Yes;No;local;1;Biologgers;forests;Short_scale;1;individuals;forests;individuals
149;0,0192325763456656;0,07387617534636071;2018;UK;United Kingdom;Europe;Paleartic;5;Tidal power;Yes;Yes;No;Yes;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
151;-0,3132617127432786;0,23740720451213873;2009;USA;United States of America;North America;Neartic;36;Eolic terrestrial;Yes;Yes;Yes;No;local;4;Other;mountains;Short_scale;1;communities;mountains;communities
152;0,1161968183674226;0,09248634401132572;2005;France;France;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;No;local;1;Biologgers;freshwaters;Large_scale;1;individuals;freshwaters;individuals
157;0,0136035865522461;0,02543447967841420;2021;USA;United States of America;North America;Neartic;3;Eolic terrestrial;Yes;Yes;No;No;local;1;Other;grasslands/shrublands/Savannahs;Multi_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
160;-0,0661508993107448;-0,08627007601413389;2017;North Sea;Sweden;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;Yes;regional;2;Other;oceans/coasts;Multi_scale;2;populations;oceans/coasts;populations
162;0,0566462796031866;-0,09530486282913483;2013;Canada;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;1;Biologgers;freshwaters;Multi_scale;2;individuals;freshwaters;individuals
163;0,1278978939789115;-0,25681511846438665;2014;UK;United Kingdom;Europe;Paleartic;2;Hydroelectric;No;No;No;No;global;1;Other;freshwaters;Multi_scale;4;individuals;freshwaters;individuals
