ID paper;Year of publication;Country;Area;Wallace bioregion;Number of species;Energy;How;Where;When;Why;Geographical scale;Ecological scale;Tracking method;Ecosystem;Spatial_scale
195;2013;Mozambique;South Africa;Afrotropical;NA;Tidal power;Yes;Yes;No;No;local;communities;Other;oceans/coasts;Short_scale
200;2014;USA;North America;Neartic;1;Hydroelectric;Yes;Doubt;Yes;Yes;local;individuals;Biologgers;freshwaters;Large_scale
202;2020;Portugal;Europe;Paleartic;3;Hydroelectric;Yes;Yes;No;No;regional;species;Other;freshwaters;Large_scale
203;2013;Sweden;Europe;Paleartic;1;Hydroelectric;Yes;No;Yes;No;regional;individuals;Biologgers;freshwaters;Multi_scale
204;2022;France;Europe;Paleartic;NA;Eolic terrestrial;Yes;Yes;No;No;local;individuals;Bioacustic;farmlands;Short_scale
206;2021;Belgium;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Doubt;Yes;local;individuals;Bioacustic;freshwaters;Large_scale
207;2019;Brazil;South America;Neotropical;1;Hydroelectric;Yes;Yes;No;No;local;populations;Other;other;Short_scale
208;2011;Canada;North America;Neartic;2;Eolic terrestrial;No;No;No;No;local;individuals;Bioacustic;farmlands;Multi_scale
212;2014;Canada;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;Bioacustic;other;Multi_scale
215;2022;Germany;Europe;Paleartic;NA;Eolic terrestrial;Yes;No;Doubt;No;regional;individuals;Bioacustic;forests;Short_scale
216;2021;Scotland;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;No;local;individuals;Bioacustic;oceans/coasts;Short_scale
218;2019;Norway;Europe;Paleartic;1;Hydroelectric;No;No;Yes;Yes;local;individuals;Marks;freshwaters;Multi_scale
225;2014;USA;North Africa;Neartic;2;Eolic terrestrial;Doubt;Doubt;No;No;regional;populations;Isotopes;forests;Multi_scale
226;2022;USA;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;individuals;Biologgers;farmlands;Large_scale
227;2018;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;populations;Biologgers;other;Medium_scale
231;2022;Florida;North America;Neartic;1;Solar and termosolar;No;Yes;No;No;regional;individuals;Biologgers;other;Multi_scale
232;2022;United States;North America;Neartic;1;Solar and termosolar;Yes;Yes;Yes;Yes;local;individuals;Other;grasslands/shrublands/Savannahs;Short_scale
